I, [2021-03-15T21:48:40.626887 #42638]  INFO -- : (0.000275s) SET standard_conforming_strings = ON
I, [2021-03-15T21:48:40.627177 #42638]  INFO -- : (0.000140s) SET client_min_messages = 'WARNING'
I, [2021-03-15T21:48:40.627400 #42638]  INFO -- : (0.000142s) SET DateStyle = 'ISO'
I, [2021-03-15T21:49:46.530488 #42939]  INFO -- : (0.000268s) SET standard_conforming_strings = ON
I, [2021-03-15T21:49:46.530767 #42939]  INFO -- : (0.000147s) SET client_min_messages = 'WARNING'
I, [2021-03-15T21:49:46.531004 #42939]  INFO -- : (0.000150s) SET DateStyle = 'ISO'
I, [2021-03-15T21:50:42.260557 #43215]  INFO -- : (0.000261s) SET standard_conforming_strings = ON
I, [2021-03-15T21:50:42.261326 #43215]  INFO -- : (0.000135s) SET client_min_messages = 'WARNING'
I, [2021-03-15T21:50:42.261495 #43215]  INFO -- : (0.000114s) SET DateStyle = 'ISO'
I, [2021-03-15T21:50:50.773791 #43284]  INFO -- : (0.000262s) SET standard_conforming_strings = ON
I, [2021-03-15T21:50:50.774034 #43284]  INFO -- : (0.000132s) SET client_min_messages = 'WARNING'
I, [2021-03-15T21:50:50.774212 #43284]  INFO -- : (0.000126s) SET DateStyle = 'ISO'
I, [2021-03-15T21:57:32.283761 #45431]  INFO -- : (0.000304s) SET standard_conforming_strings = ON
I, [2021-03-15T21:57:32.284206 #45431]  INFO -- : (0.000300s) SET client_min_messages = 'WARNING'
I, [2021-03-15T21:57:32.284422 #45431]  INFO -- : (0.000146s) SET DateStyle = 'ISO'
I, [2021-03-15T21:57:54.602031 #45431]  INFO -- : (0.057397s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
I, [2021-03-15T21:57:54.774081 #45431]  INFO -- : (0.171748s) CREATE TABLE "webserver_logs" ("id" integer GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY, "url" text, "ip" text)
I, [2021-03-15T22:23:35.348186 #50059]  INFO -- : (0.000297s) SET standard_conforming_strings = ON
I, [2021-03-15T22:23:35.348730 #50059]  INFO -- : (0.000146s) SET client_min_messages = 'WARNING'
I, [2021-03-15T22:23:35.348912 #50059]  INFO -- : (0.000128s) SET DateStyle = 'ISO'
I, [2021-03-15T22:34:02.613282 #50059]  INFO -- : (0.090192s) SELECT pg_attribute.attname AS pk FROM pg_class, pg_attribute, pg_index, pg_namespace WHERE pg_class.oid = pg_attribute.attrelid AND pg_class.relnamespace = pg_namespace.oid AND pg_class.oid = pg_index.indrelid AND pg_index.indkey[0] = pg_attribute.attnum AND pg_index.indisprimary = 't' AND pg_class.oid = CAST(CAST('"webserver_logs"' AS regclass) AS oid)
I, [2021-03-15T22:34:02.614231 #50059]  INFO -- : (0.000381s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
I, [2021-03-15T22:34:02.652936 #50059]  INFO -- : (0.038485s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('abc', 62.16350255312361) RETURNING "id"
I, [2021-03-15T22:34:25.848641 #52781]  INFO -- : (0.000335s) SET standard_conforming_strings = ON
I, [2021-03-15T22:34:25.848908 #52781]  INFO -- : (0.000140s) SET client_min_messages = 'WARNING'
I, [2021-03-15T22:34:25.849086 #52781]  INFO -- : (0.000118s) SET DateStyle = 'ISO'
I, [2021-03-15T22:34:25.856785 #52781]  INFO -- : (0.002351s) SELECT pg_attribute.attname AS pk FROM pg_class, pg_attribute, pg_index, pg_namespace WHERE pg_class.oid = pg_attribute.attrelid AND pg_class.relnamespace = pg_namespace.oid AND pg_class.oid = pg_index.indrelid AND pg_index.indkey[0] = pg_attribute.attnum AND pg_index.indisprimary = 't' AND pg_class.oid = CAST(CAST('"webserver_logs"' AS regclass) AS oid)
I, [2021-03-15T22:34:25.857250 #52781]  INFO -- : (0.000276s) SELECT CAST(current_setting('server_version_num') AS integer) AS v
I, [2021-03-15T22:34:25.869688 #52781]  INFO -- : (0.012255s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.876359 #52781]  INFO -- : (0.006415s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.877389 #52781]  INFO -- : (0.000683s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.878200 #52781]  INFO -- : (0.000596s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.878930 #52781]  INFO -- : (0.000519s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.879545 #52781]  INFO -- : (0.000426s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.880217 #52781]  INFO -- : (0.000426s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.880763 #52781]  INFO -- : (0.000382s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.881329 #52781]  INFO -- : (0.000404s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.881948 #52781]  INFO -- : (0.000425s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.882591 #52781]  INFO -- : (0.000449s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.889029 #52781]  INFO -- : (0.006255s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.895033 #52781]  INFO -- : (0.005838s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.901480 #52781]  INFO -- : (0.006279s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.908114 #52781]  INFO -- : (0.006388s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.913500 #52781]  INFO -- : (0.005158s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.914356 #52781]  INFO -- : (0.000625s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.915074 #52781]  INFO -- : (0.000517s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.915861 #52781]  INFO -- : (0.000508s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.916571 #52781]  INFO -- : (0.000510s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.917331 #52781]  INFO -- : (0.000551s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.918022 #52781]  INFO -- : (0.000503s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.918585 #52781]  INFO -- : (0.000423s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.919118 #52781]  INFO -- : (0.000394s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.919676 #52781]  INFO -- : (0.000403s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.920178 #52781]  INFO -- : (0.000367s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.920659 #52781]  INFO -- : (0.000349s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.921162 #52781]  INFO -- : (0.000348s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.921641 #52781]  INFO -- : (0.000340s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.922125 #52781]  INFO -- : (0.000333s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.922575 #52781]  INFO -- : (0.000316s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.923027 #52781]  INFO -- : (0.000302s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.923436 #52781]  INFO -- : (0.000293s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.923897 #52781]  INFO -- : (0.000294s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.924302 #52781]  INFO -- : (0.000291s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.924701 #52781]  INFO -- : (0.000288s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.925102 #52781]  INFO -- : (0.000288s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.925496 #52781]  INFO -- : (0.000287s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.926969 #52781]  INFO -- : (0.001367s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.927406 #52781]  INFO -- : (0.000302s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.927806 #52781]  INFO -- : (0.000291s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.928201 #52781]  INFO -- : (0.000286s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.928596 #52781]  INFO -- : (0.000281s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.929015 #52781]  INFO -- : (0.000307s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.929474 #52781]  INFO -- : (0.000348s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.929990 #52781]  INFO -- : (0.000376s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.930543 #52781]  INFO -- : (0.000410s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.931053 #52781]  INFO -- : (0.000360s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.931517 #52781]  INFO -- : (0.000334s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.931970 #52781]  INFO -- : (0.000320s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.932392 #52781]  INFO -- : (0.000304s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.932816 #52781]  INFO -- : (0.000309s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.933230 #52781]  INFO -- : (0.000300s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.933661 #52781]  INFO -- : (0.000293s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.934116 #52781]  INFO -- : (0.000313s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.934571 #52781]  INFO -- : (0.000321s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/contact', '/contact') RETURNING "id"
I, [2021-03-15T22:34:25.934996 #52781]  INFO -- : (0.000300s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.935417 #52781]  INFO -- : (0.000298s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/home', '/home') RETURNING "id"
I, [2021-03-15T22:34:25.935851 #52781]  INFO -- : (0.000292s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.936266 #52781]  INFO -- : (0.000284s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/index', '/index') RETURNING "id"
I, [2021-03-15T22:34:25.936667 #52781]  INFO -- : (0.000288s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
I, [2021-03-15T22:34:25.937114 #52781]  INFO -- : (0.000290s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.937514 #52781]  INFO -- : (0.000292s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about/2', '/about/2') RETURNING "id"
I, [2021-03-15T22:34:25.937903 #52781]  INFO -- : (0.000282s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/about', '/about') RETURNING "id"
I, [2021-03-15T22:34:25.938296 #52781]  INFO -- : (0.000284s) INSERT INTO "webserver_logs" ("url", "ip") VALUES ('/help_page/1', '/help_page/1') RETURNING "id"
